,Nombre,Distancia,Posicion
138,Restaurant Casa Carmen,5.965281533658655,"[41.389235899999996, 2.1703098]"
139,Preet Tandori Indian Restaurant,6.097913920016234,"[41.378531699999996, 2.1715198]"
140,ATN restaurant,6.0991017669698655,"[41.3846139, 2.1717834]"
141,Torres del Paine Restaurante,6.128348630948614,"[41.3792405, 2.1718602]"
142,Restaurant Maccabi,6.208752650290648,"[41.3814932, 2.1727303]"
143,Kimpton Vividora Hotel,6.220175476634118,"[41.3846614, 2.172877799999999]"
144,My Fucking Restaurant,6.285206658530306,"[41.377784399999996, 2.173146]"
145,Restaurant MIAN,6.2878830504623915,"[41.3935272, 2.1726681]"
146,Els 4Gats,6.300248265472146,"[41.385809599999995, 2.1735743]"
147,Els 4Gats,6.300248265472146,"[41.385809599999995, 2.1735743]"
148,Bristol Gastropub,6.305798389059299,"[41.4002331, 2.1712569]"
149,Ramen House,6.315100815060878,"[41.392683999999996, 2.1730562]"
150,Ramen House,6.315100815060878,"[41.392683999999996, 2.1730562]"
151,Restaurant La Boqueria,6.349780867815202,"[41.3814636, 2.1740056]"
152,La Plassohla restaurant,6.381583939040178,"[41.386889, 2.1742637]"
153,Maoz,6.427147669096155,"[41.3808593, 2.1746778]"
154,La Yaya Amelia Restaurant,6.448153305304294,"[41.4056889, 2.1707056]"
155,La Yaya Amelia Restaurant,6.448153305304294,"[41.4056889, 2.1707056]"
156,"DO, Restaurant-Café",6.449111668260526,"[41.3799929, 2.1748255999999992]"
157,Bun Bo Barcelona (Gótico),6.45867577376714,"[41.385075, 2.1750278]"
158,Bun Bo Barcelona (Gótico),6.45867577376714,"[41.385075, 2.1750278]"
159,Bun Bo Barcelona (Gótico),6.45867577376714,"[41.385075, 2.1750278]"
160,a Restaurant,6.475833857683312,"[41.383306999999995, 2.175192999999999]"
161,Restaurant Catedral 1951,6.528458677066135,"[41.3849593, 2.1756613]"
162,Restaurante Rosa Negra,6.532282315187973,"[41.3865044, 2.1756469]"
163,Aula Restaurant - CETT,6.5964597623123336,"[41.4345456, 2.1480922]"
164,Aula Restaurant - CETT,6.5964597623123336,"[41.4345456, 2.1480922]"
165,La Fonda,6.605592675654552,"[41.3793602, 2.1761994]"
166,Aitor Restaurant,6.608197910712622,"[41.4038317, 2.172956799999999]"
167,Aitor Restaurant,6.608197910712622,"[41.4038317, 2.172956799999999]"
168,Viana Barcelona,6.612771644548161,"[41.3798315, 2.176298199999999]"
169,"Aràbia, Cafè-Restaurant",6.614748525679733,"[41.3796008, 2.176300099999999]"
170,La fonda paisa,6.665239811178289,"[41.400567699999996, 2.1745468]"
171,Five Guys,6.672004044772312,"[41.4040284, 2.1734993]"
172,Restaurant Parrilla Alfonsina,6.696686364204923,"[41.3970485, 2.175739499999999]"
173,Kserol,6.697812433477939,"[41.398621999999996, 2.1753768]"
174,La Trocadero,6.713869489957112,"[41.4049617, 2.1735636]"
175,Restaurant Los Bellota,6.734773500667192,"[41.4052211, 2.1736687]"
176,Vegetalia Gótico,6.760598816908142,"[41.3804361, 2.177675]"
177,The Roof - The Barcelona EDITION,6.768874057888913,"[41.385943999999995, 2.1778103]"
178,Kitchens of Saint Catherine,6.781493592600166,"[41.386175099999996, 2.1779162]"
179,XiAn Restaurante,6.796731569625893,"[41.3805717, 2.1780097]"
180,Dunne's Irish Bar and Restaurant,6.878139988056684,"[41.3836502, 2.1788336]"
181,Mercer Restaurant,6.891769601906435,"[41.3825814, 2.1789441]"
182,Sensi Bistro (Tapas),6.892464699059916,"[41.381510299999995, 2.178919199999999]"
183,Koku Kitchen Ramen,6.927197642260215,"[41.379959899999996, 2.179156099999999]"
184,Grasshopper Ramen Bar,6.928055702139674,"[41.3851253, 2.1792726]"
185,Grasshopper Ramen Bar,6.928055702139674,"[41.3851253, 2.1792726]"
186,Mercer Hotel Barcelona,6.929339890276766,"[41.382691699999995, 2.1792861]"
187,Narciso,6.944880881410446,"[41.384623399999995, 2.1794329]"
188,Restaurant Arrosseria Gaudí,6.952323681396183,"[41.4082319, 2.1745891]"
189,El Salón,7.0084393689278786,"[41.3817951, 2.1799787]"
190,Bardeni el meatbar - Caldeni,7.010239928651509,"[41.4029156, 2.1770971]"
191,HASTA LOS ANDARES Barcelona (Taberna Restaurante / Tapas Bar / Bodega Jamon/ Spanish Food),7.021424376624585,"[41.4058899, 2.1761859]"
192,Ziryab Fusion Tapas Bar,7.03510803544906,"[41.3840305, 2.1802533]"
193,Mimo's Born,7.078374525369917,"[41.3834191, 2.1806433]"
194,"Restaurante Vic Braseria en Barcelona, Brasas Catalanas, Especialistas en Carnes y Verduras-Sin Gluten- Barcelona",7.106341121723325,"[41.397233, 2.179491]"
195,"Restaurante Vic Braseria en Barcelona, Brasas Catalanas, Especialistas en Carnes y Verduras-Sin Gluten- Barcelona",7.106341121723325,"[41.397233, 2.179491]"
196,Tantarantana,7.182875978914645,"[41.3866768, 2.181528799999999]"
197,Bodega La Puntual,7.198928967933496,"[41.3844615, 2.181732299999999]"
198,Restaurante Petra,7.204262351908436,"[41.3839, 2.181783299999999]"
199,Picnic,7.204322905890248,"[41.388602899999995, 2.181610999999999]"
200,Euskal Etxea (Restaurant),7.2271726187165966,"[41.384536999999995, 2.181987]"
201,Tucco Real Food Born,7.233198887744335,"[41.3823381, 2.1820273]"
202,Gusto del Born,7.312795801131818,"[41.3844302, 2.1827624]"
203,El Arepazo,7.314490333877468,"[41.4084815, 2.1780273]"
204,Llamber,7.342423933369092,"[41.3863924, 2.1829845]"
205,Carballeira Restaurant,7.356026267677582,"[41.3814238, 2.1831112]"
206,La Columna | Restaurant,7.374803008913278,"[41.4281927, 2.1664589]"
207,ELDISET,7.382629032433304,"[41.385033299999996, 2.1833861]"
208,Disset 17 Graus,7.384612075219738,"[41.3850008, 2.1834046]"
209,"San Pedrito, Restaurante Y Licoreria",7.418344221304531,"[41.386613, 2.1836629]"
210,Azul,7.482319723174825,"[41.411196499999996, 2.1785305]"
211,Ten's Tapas Restaurant Barcelona,7.489459688737663,"[41.3842006, 2.184361699999999]"
212,Ten's Tapas Restaurant Barcelona,7.489459688737663,"[41.3842006, 2.184361699999999]"
213,1881 per Sagardi,7.648859891554213,"[41.380745999999995, 2.185734]"
214,Barceloneta,7.896631191958481,"[41.3758671, 2.187596199999999]"
215,Can Solé,7.954825682690233,"[41.3788768, 2.1883984]"
216,Rangoli,8.015822606313728,"[41.374995399999996, 2.188578799999999]"
217,Bj Restaurant,8.019346670837797,"[41.3913143, 2.1887706]"
218,La Mar Salada Restaurant,8.047703538594003,"[41.3767527, 2.1890633]"
219,Manioca - Restaurante (Sin Gluten),8.13719350423084,"[41.391032599999996, 2.1898701]"
220,Restaurant Rebeka,8.140082232447508,"[41.396842, 2.1890929]"
221,Restaurant KFC,8.179333780766456,"[41.376280099999995, 2.1902122]"
222,Cafè Menssana,8.187423998994353,"[41.3907338, 2.190355]"
223,Collonut,8.282891731874857,"[41.42046, 2.181988]"
224,All you eat is love,8.318153765763409,"[41.3916855, 2.191448899999999]"
225,Restaurante Jardin,8.38604782090394,"[41.400449099999996, 2.1906345]"
226,Restaurante Jardin,8.38604782090394,"[41.400449099999996, 2.1906345]"
227,Restaurante Tio Pepe,8.464424022383692,"[41.4413313, 2.1671961]"
228,Wapa Tapas e Restaurante,8.471933892688904,"[41.4038946, 2.190582]"
229,Arenal Restaurant,8.594053748701379,"[41.382110499999996, 2.1943325]"
230,Ca La Nuri Restaurant,8.657222285333562,"[41.3829689, 2.194918399999999]"
231,Restaurant Agua,8.785157115188664,"[41.3848264, 2.196074599999999]"
232,Restaurant Agua,8.785157115188664,"[41.3848264, 2.196074599999999]"
233,Carpe Diem,8.806787338122648,"[41.384974299999996, 2.1962683]"
234,Enoteca Paco Pérez,8.85328482288984,"[41.3870079, 2.196634699999999]"
235,Pollo Campero,9.07300934649018,"[41.4350719, 2.180740499999999]"
236,Swad-The Indian Restaurant,9.100209753700444,"[41.4037222, 2.196497]"
237,Swad-The Indian Restaurant,9.100209753700444,"[41.4037222, 2.196497]"
238,Racó de la Vila,9.22289338790905,"[41.3974007, 2.198932799999999]"
239,Racó de la Vila,9.22289338790905,"[41.3974007, 2.198932799999999]"
240,"La Tertúlia, bar restaurant",9.788840298472278,"[41.399297, 2.2038012]"
241,Zozan Restaurant Gourmet,9.90830480844631,"[41.3983756, 2.2050544]"
242,ApriBocca - Italian Restaurant,9.93898803131694,"[41.3995484, 2.2051357]"
243,Can Fisher - Restaurante 🐟,9.980663040046252,"[41.3946438, 2.2062458]"
244,Bar Jupiter Restaurante,10.055898133217529,"[41.4033185, 2.2054666]"
245,Fisterra,10.47231412041974,"[41.409055699999996, 2.2079257]"
246,Restaurant L'Escola,10.701459388057241,"[41.404167199999996, 2.211256499999999]"
247,Kibo Brunch Restaurant,11.0495504534684,"[41.4061168, 2.2140489]"
248,Five Guys,11.08083062737272,"[41.4412674, 2.198769]"
249,Five Guys,11.08083062737272,"[41.4412674, 2.198769]"
250,Five Guys,11.375535491589465,"[41.4090643, 2.2163719]"
251,"Restaurante La Tagliatella | Diagonal Mar, Barcelona",11.376801585183838,"[41.408681699999995, 2.2164796]"
252,"Restaurante La Tagliatella | Diagonal Mar, Barcelona",11.376801585183838,"[41.408681699999995, 2.2164796]"
253,"Restaurante La Tagliatella | Diagonal Mar, Barcelona",11.376801585183838,"[41.408681699999995, 2.2164796]"
254,Restaurant Pacífic,11.654766164580591,"[41.413433, 2.2177987]"
255,Bar Restaurant Nou,11.659552662634315,"[41.4116917, 2.2183364]"
256,Master Chef Restaurant Barcelona,11.754947066323862,"[41.4177724, 2.2173843]"
257,Font de l'Alzina,12.611378339008127,"[41.4651802, 2.196600499999999]"
258,Restaurante IKEA,14.619978420438935,"[41.459045599999996, 2.2253911]"
259,Vadegust,100.74551526481382,"[41.1140152, 1.246392999999999]"
